iter	Passed	Remaining
0	142	142249
1	143	71627
2	144	48156
3	146	36393
4	147	29318
5	148	24562
6	149	21193
7	150	18652
8	151	16717
9	152	15135
10	154	13872
11	155	12806
12	156	11894
13	157	11113
14	159	10443
15	160	9844
16	160	9305
17	161	8824
18	162	8399
19	163	8010
20	164	7661
21	165	7339
22	166	7056
23	167	6805
24	168	6569
25	169	6343
26	170	6128
27	170	5932
28	171	5746
29	172	5572
30	173	5407
31	173	5252
32	174	5109
33	175	4973
34	175	4844
35	176	4725
36	177	4612
37	178	4508
38	178	4405
39	179	4308
40	180	4213
41	180	4124
42	181	4039
43	182	3959
44	182	3883
45	183	3808
46	184	3734
47	184	3666
48	185	3598
49	185	3532
50	186	3469
51	187	3412
52	187	3354
53	188	3300
54	188	3247
55	189	3196
56	190	3148
57	190	3100
58	191	3054
59	192	3009
60	192	2966
61	193	2924
62	193	2884
63	194	2845
64	195	2807
65	195	2771
66	196	2737
67	197	2702
68	197	2667
69	198	2634
70	198	2602
71	199	2569
72	199	2539
73	200	2509
74	201	2481
75	201	2453
76	202	2424
77	202	2397
78	203	2370
79	203	2345
80	204	2319
81	205	2295
82	205	2268
83	205	2245
84	206	2222
85	206	2199
86	207	2177
87	208	2156
88	208	2136
89	209	2116
90	209	2096
91	210	2075
92	210	2057
93	211	2039
94	212	2021
95	212	2004
96	213	1987
97	214	1970
98	214	1953
99	215	1936
100	215	1920
101	216	1903
102	216	1888
103	217	1872
104	217	1857
105	218	1843
106	219	1827
107	219	1812
108	219	1797
109	220	1783
110	220	1769
111	221	1756
112	222	1743
113	222	1729
114	223	1716
115	223	1703
116	223	1689
117	224	1676
118	224	1664
119	225	1653
120	225	1641
121	226	1630
122	227	1619
123	227	1609
124	228	1599
125	229	1588
126	229	1578
127	230	1568
128	230	1558
129	231	1548
130	232	1539
131	232	1530
132	233	1520
133	233	1511
134	234	1502
135	235	1493
136	235	1485
137	236	1476
138	237	1468
139	237	1459
140	238	1451
141	238	1441
142	239	1433
143	239	1425
144	240	1417
145	241	1410
146	241	1402
147	242	1394
148	242	1387
149	243	1380
150	244	1372
151	244	1365
152	245	1358
153	245	1350
154	246	1344
155	247	1336
156	247	1329
157	248	1323
158	248	1316
159	249	1309
160	249	1301
161	250	1295
162	251	1289
163	251	1282
164	252	1276
165	252	1270
166	253	1263
167	253	1257
168	254	1251
169	255	1246
170	255	1240
171	256	1235
172	257	1230
173	258	1224
174	258	1218
175	259	1213
176	259	1208
177	260	1202
178	261	1197
179	261	1192
180	262	1187
181	263	1182
182	263	1176
183	264	1172
184	264	1167
185	265	1162
186	266	1157
187	266	1152
188	267	1147
189	267	1142
190	268	1137
191	269	1132
192	269	1127
193	270	1121
194	270	1116
195	270	1111
196	271	1106
197	271	1101
198	272	1096
199	273	1092
200	273	1088
201	274	1083
202	274	1079
203	275	1075
